Name,Population,initial_density (per km2),normalized_density
Alberta,"4,262,635",6.7,7
British Columbia,"62,030",5.4,6
Manitoba,"21,425",2.3,2
New Brunswick,"33,620",10.9,11
Newfoundland and Labrador,"29,175",1.4,1
Northwest Territories,"34,575",0.04,0
Nova Scotia,"49,325",18.4,19
Nunavut,"13,975",0.02,0
Ontario,"29,325",15.2,16
Prince Edward Island,"43,045",27.2,28
Quebec,"24,460",6.5,7
Saskatchewan,"32,955",2,2
Yukon,"13,030",0.08,0
